,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
211,"Disculpe, señorita Harmon. Soy del Lexington Herald-Leader.","Disculpe, señorita Harmon, soy del Lexington Herald-Leader.","<s>Disculpe, señorita Harmon. Soy del Lexington Herald-Leader.</s>>>>><p>Disculpe, señorita Harmon, soy del Lexington Herald-Leader.</p>","<s>Disculpe, señorita Harmon. Soy del Lexington Herald-Leader.</s>>>>><p>","Señorita Harmon, soy del Lexington Herald-Leader."
212,"drogas, contrabando, lavado de dinero. Corea del Norte utilizó cualquier método ilegal disponible.","drogas, contrabando y blanqueo de dinero. Cualquier método ilegal disponible, Corea del Norte lo ha utilizado.","<s>drogas, contrabando, lavado de dinero. Corea del Norte utilizó cualquier método ilegal disponible.</s>>>>><p>drogas, contrabando y blanqueo de dinero. Cualquier método ilegal disponible, Corea del Norte lo ha utilizado.</p>","<s>drogas, contrabando, lavado de dinero. Corea del Norte utilizó cualquier método ilegal disponible.</s>>>>><p>","coches, contrabando, lavado de dinero. Corea del Norte usó cualquier método ilegal."
213,"Dana, ella es Frankie, la sombra de lo que una vez fue.","Dana, esta es Frankie, una sombra de lo que fue.","<s>Dana, ella es Frankie, la sombra de lo que una vez fue.</s>>>>><p>Dana, esta es Frankie, una sombra de lo que fue.</p>","<s>Dana, ella es Frankie, la sombra de lo que una vez fue.</s>>>>><p>","Dana, ella es Frankie, la sombra de lo que una vez fue."
214,Empieza así. Vamos.,Empieza así. Venga.,<s>Empieza así. Vamos.</s>>>>><p>Empieza así. Venga.</p>,<s>Empieza así. Vamos.</s>>>>><p>,¿Qué? Vamos.
215,"Hicimos un trato. ¡Sí, pero no creí que pasaría esto!","Frankie, teníamos un trato. Sí, pero no pensé que pasaría esto.","<s>Hicimos un trato. ¡Sí, pero no creí que pasaría esto!</s>>>>><p>Frankie, teníamos un trato. Sí, pero no pensé que pasaría esto.</p>","<s>Hicimos un trato. ¡Sí, pero no creí que pasaría esto!</s>>>>><p>","Hicimos un trato. ¡Sí, pero no pensé que pasaría esto!"
216,"¡Hola! Es una locura. Sí, ¿no? Hola.",¡Hola! ¡Qué locura! ¿A que sí?,"<s>¡Hola! Es una locura. Sí, ¿no? Hola.</s>>>>><p>¡Hola! ¡Qué locura! ¿A que sí?</p>","<s>¡Hola! Es una locura. Sí, ¿no? Hola.</s>>>>><p>","soy una locura. Sí, ¿no? Hola."
217,Esa vez. Y Yuri no está entrenado ni es tan hábil como Jeremiah.,Una vez. Yuri no será tan buen karateka como Jeremiah.,<s>Esa vez. Y Yuri no está entrenado ni es tan hábil como Jeremiah.</s>>>>><p>Una vez. Yuri no será tan buen karateka como Jeremiah.</p>,<s>Esa vez. Y Yuri no está entrenado ni es tan hábil como Jeremiah.</s>>>>><p>,Esa vez. Y Yuri no está entrenado ni es tan hábil como Jeremiah.
218,"Y sí, seré Y sí, iré","Y sí, seré yo Y sí, iré","<s>Y sí, seré Y sí, iré</s>>>>><p>Y sí, seré yo Y sí, iré</p>","<s>Y sí, seré Y sí, iré</s>>>>><p>","Y sí, seré Y sí, iré"
219,Es más estilo debutante sureña y maliciosa.,Es una zorra debutante del sur.,<s>Es más estilo debutante sureña y maliciosa.</s>>>>><p>Es una zorra debutante del sur.</p>,<s>Es más estilo debutante sureña y maliciosa.</s>>>>><p>,Es más estilo debutante yélico.
220,¿Cómo estuvo el recital? Genial. Hunter ganó.,¿Qué tal la Batalla? Genial. Ha ganado.,<s>¿Cómo estuvo el recital? Genial. Hunter ganó.</s>>>>><p>¿Qué tal la Batalla? Genial. Ha ganado.</p>,<s>¿Cómo estuvo el recital? Genial. Hunter ganó.</s>>>>><p>,¿Qué tal el recital? Genial. Hunter ganó.
221,"campeón mundial antes que Elizabeth Harmon naciera. Derrotó al gran Alekhine cuando era un niño,","campeón del mundo antes de que naciera Harmon. De niño, derrotó al gran Alekhine en una exhibición,","<s>campeón mundial antes que Elizabeth Harmon naciera. Derrotó al gran Alekhine cuando era un niño,</s>>>>><p>campeón del mundo antes de que naciera Harmon. De niño, derrotó al gran Alekhine en una exhibición,</p>","<s>campeón mundial antes que Elizabeth Harmon naciera. Derrotó al gran Alekhine cuando era un niño,</s>>>>><p>","sigue siendo el campeón mundial antes de que Elizabeth Harmon naciera. Hizo que el gran Alekhine se fuera,"
222,Las linternas.,Las linternas.,<s>Las linternas.</s>>>>><p>Las linternas.</p>,<s>Las linternas.</s>>>>><p>,Las linternas.
223,¡Te lo ruego! Está bien.,¡Por favor! De acuerdo.,<s>¡Te lo ruego! Está bien.</s>>>>><p>¡Por favor! De acuerdo.</p>,<s>¡Te lo ruego! Está bien.</s>>>>><p>,¡Te lo suplico! Vale.
224,Es muy importante.,Es muy importante.,<s>Es muy importante.</s>>>>><p>Es muy importante.</p>,<s>Es muy importante.</s>>>>><p>,Es muy importante.
225,A mamá no le gustan los juegos donde matan gente. Monopoly podría ser mejor.,A mi madre no le gustan los juegos con muertos. Entonces quizás el Monopoly.,<s>A mamá no le gustan los juegos donde matan gente. Monopoly podría ser mejor.</s>>>>><p>A mi madre no le gustan los juegos con muertos. Entonces quizás el Monopoly.</p>,<s>A mamá no le gustan los juegos donde matan gente. Monopoly podría ser mejor.</s>>>>><p>,A mamá no le gustan los juegos donde matan gente. Monopoly podría ser mejor.
226,EL HAYWORTH SALÓN DE BAILE DE LA FAMILIA HOWARD,EL HAYWORTH SALÓN DE LA FAMILIA HOWARD,<s>EL HAYWORTH SALÓN DE BAILE DE LA FAMILIA HOWARD</s>>>>><p>EL HAYWORTH SALÓN DE LA FAMILIA HOWARD</p>,<s>EL HAYWORTH SALÓN DE BAILE DE LA FAMILIA HOWARD</s>>>>><p>,EL HAYWORTH SALÓN DE BAILE DE LA FAMILIA HOWARD
227,¡Sí!,¡Sí!,<s>¡Sí!</s>>>>><p>¡Sí!</p>,<s>¡Sí!</s>>>>><p>,¡Sí!
228,"Cuando te sientes excluido,","Cuando te sientes excluido,","<s>Cuando te sientes excluido,</s>>>>><p>Cuando te sientes excluido,</p>","<s>Cuando te sientes excluido,</s>>>>><p>","Cuando te sientes excluido,"
229,"Si nos cuenta, quizá lo saquemos. Sáquenme primero.",Cuéntanoslo y te sacamos. Primero sacadme.,"<s>Si nos cuenta, quizá lo saquemos. Sáquenme primero.</s>>>>><p>Cuéntanoslo y te sacamos. Primero sacadme.</p>","<s>Si nos cuenta, quizá lo saquemos. Sáquenme primero.</s>>>>><p>","Si nos cuenta, lo sacamos."
230,¡Idiota! Llegaste a tiempo. Están por comenzar.,¡Gilipollas! Llegas justo a tiempo. Está a punto de empezar.,<s>¡Idiota! Llegaste a tiempo. Están por comenzar.</s>>>>><p>¡Gilipollas! Llegas justo a tiempo. Está a punto de empezar.</p>,<s>¡Idiota! Llegaste a tiempo. Están por comenzar.</s>>>>><p>,¡Idiota! Llegaste a tiempo. Están por empezar.
231,¿Cómo nos cuidamos nosotros mismos y entre nosotros?,¿Cómo cuidamos de nosotros mismos... ...e intentamos cuidar de los demás?,<s>¿Cómo nos cuidamos nosotros mismos y entre nosotros?</s>>>>><p>¿Cómo cuidamos de nosotros mismos... ...e intentamos cuidar de los demás?</p>,<s>¿Cómo nos cuidamos nosotros mismos y entre nosotros?</s>>>>><p>,¿Cómo nos cuidamos nosotros mismos y entre nosotros?
232,...está mal por eso. Eran amigos. Es una situación difícil.,...lo que le pasaba a Kyle. Eran amigos. Perder a alguien es duro.,<s>...está mal por eso. Eran amigos. Es una situación difícil.</s>>>>><p>...lo que le pasaba a Kyle. Eran amigos. Perder a alguien es duro.</p>,<s>...está mal por eso. Eran amigos. Es una situación difícil.</s>>>>><p>,...está mal por eso. Eran amigos. Es una situación difícil.
233,No sé. Tal vez… Otra cosa la mató.,Yo qué sé. A lo mejor… La mató otra cosa.,<s>No sé. Tal vez… Otra cosa la mató.</s>>>>><p>Yo qué sé. A lo mejor… La mató otra cosa.</p>,<s>No sé. Tal vez… Otra cosa la mató.</s>>>>><p>,No sé. Quizá… Otra cosa la mató.
234,¿Tu hermana conduce? Eso parece. Vigila ese globo. Y la carretera.,¿Tu hermana conduce? Eso parece. No quites la vista de ese globo. Ni de la carretera.,<s>¿Tu hermana conduce? Eso parece. Vigila ese globo. Y la carretera.</s>>>>><p>¿Tu hermana conduce? Eso parece. No quites la vista de ese globo. Ni de la carretera.</p>,<s>¿Tu hermana conduce? Eso parece. Vigila ese globo. Y la carretera.</s>>>>><p>,¿Tu hermana conduce? Eso parece. Vigila ese globo. Y la carretera.
235,"Sí, las probé. Intentas distraerme porque juego mejor que tú.",Quieres distraerme porque soy mejor con el Lobber que tú.,"<s>Sí, las probé. Intentas distraerme porque juego mejor que tú.</s>>>>><p>Quieres distraerme porque soy mejor con el Lobber que tú.</p>","<s>Sí, las probé. Intentas distraerme porque juego mejor que tú.</s>>>>><p>","Digo, las he probado. Intentas distraerme porque juego mejor que tú."
236,"Rhonda, muéstrale de lo que hablamos.","Rhonda, enséñaselo.","<s>Rhonda, muéstrale de lo que hablamos.</s>>>>><p>Rhonda, enséñaselo.</p>","<s>Rhonda, muéstrale de lo que hablamos.</s>>>>><p>","Cielos, Rhonda, muéstrale de lo que hablamos."
237,Fue una llamada corta. Quería que verificara dónde estabas la noche del partido.,Ha sido breve. Quería verificar dónde estuviste esa noche.,<s>Fue una llamada corta. Quería que verificara dónde estabas la noche del partido.</s>>>>><p>Ha sido breve. Quería verificar dónde estuviste esa noche.</p>,<s>Fue una llamada corta. Quería que verificara dónde estabas la noche del partido.</s>>>>><p>,Una llamada corta. Quería que supieras dónde estabas la noche del partido.
238,No lo culpo.,Le entiendo.,<s>No lo culpo.</s>>>>><p>Le entiendo.</p>,<s>No lo culpo.</s>>>>><p>,No lo culpo.
239,de que los modelos de riesgo se habían diseñado para ser incorrectos.,se hacen expresamente para equivocarse.,<s>de que los modelos de riesgo se habían diseñado para ser incorrectos.</s>>>>><p>se hacen expresamente para equivocarse.</p>,<s>de que los modelos de riesgo se habían diseñado para ser incorrectos.</s>>>>><p>,de que los modelos de riesgo se habían diseñado para ser incorrectos.
240,"Para protegerte, debo sentirme segura. Y para eso preciso un arma un casa.","Para mantenerte a salvo, yo debo sentirme a salvo. Me siento a salvo con una pistola en casa.","<s>Para protegerte, debo sentirme segura. Y para eso preciso un arma un casa.</s>>>>><p>Para mantenerte a salvo, yo debo sentirme a salvo. Me siento a salvo con una pistola en casa.</p>","<s>Para protegerte, debo sentirme segura. Y para eso preciso un arma un casa.</s>>>>><p>",Doy fe de que me siento segura. Y para eso necesito una pistola.
241,"para acabar lo que comencé. Vamos, Birdie, di que sí. Es el mensaje erróneo. Piénsalo como una inversión.","para poder terminar lo que he empezado. Vamos, Birdie, di que sí. Te equivocas. Piensa en ello como en una inversión.","<s>para acabar lo que comencé. Vamos, Birdie, di que sí. Es el mensaje erróneo. Piénsalo como una inversión.</s>>>>><p>para poder terminar lo que he empezado. Vamos, Birdie, di que sí. Te equivocas. Piensa en ello como en una inversión.</p>","<s>para acabar lo que comencé. Vamos, Birdie, di que sí. Es el mensaje erróneo. Piénsalo como una inversión.</s>>>>><p>","...para acabar lo que empecé. Vamos, Birdie, di que sí. Es el mensaje erróneo. Piénsalo como una inversión."
242,Crean una minitorre,Y lo que crean es una minitorre de comunicaciones,<s>Crean una minitorre</s>>>>><p>Y lo que crean es una minitorre de comunicaciones</p>,<s>Crean una minitorre</s>>>>><p>,crean una minitorre
243,Deberías regresar.,Ve a hacer la maleta.,<s>Deberías regresar.</s>>>>><p>Ve a hacer la maleta.</p>,<s>Deberías regresar.</s>>>>><p>,¿Te vas a volver?
244,¿Qué es esto? Oye.,¿Qué cojones? Oye.,<s>¿Qué es esto? Oye.</s>>>>><p>¿Qué cojones? Oye.</p>,<s>¿Qué es esto? Oye.</s>>>>><p>,¿Qué es esto? Oye.
245,Me encantaría probar. Mis padres nunca me dejaron comer cereales azucarados cuando niña.,Qué guay. Mis padres no me dejaban comer cereales con azúcar de niña.,<s>Me encantaría probar. Mis padres nunca me dejaron comer cereales azucarados cuando niña.</s>>>>><p>Qué guay. Mis padres no me dejaban comer cereales con azúcar de niña.</p>,<s>Me encantaría probar. Mis padres nunca me dejaron comer cereales azucarados cuando niña.</s>>>>><p>,Me encantaría probar. Mis padres nunca me dejaron comer cereales azucarados cuando niña.
246,Es la fiesta después del baile. Así que puedes largarte. Ve al solario o algo así.,Marchaos vosotros. Id a la galería o algo.,<s>Es la fiesta después del baile. Así que puedes largarte. Ve al solario o algo así.</s>>>>><p>Marchaos vosotros. Id a la galería o algo.</p>,<s>Es la fiesta después del baile. Así que puedes largarte. Ve al solario o algo así.</s>>>>><p>,y es la fiesta después del baile. Así que puedes largarte.
247,Y después vimos que era un restaurante.,Luego nos enteramos de que era un restaurante.,<s>Y después vimos que era un restaurante.</s>>>>><p>Luego nos enteramos de que era un restaurante.</p>,<s>Y después vimos que era un restaurante.</s>>>>><p>,Y luego vimos que era un restaurante.
248,Realmente la amé.,La quería de verdad.,<s>Realmente la amé.</s>>>>><p>La quería de verdad.</p>,<s>Realmente la amé.</s>>>>><p>,La quería.
249,"Por Dios. No lo sé, papá.","Vaya tela. No sé, papá.","<s>Por Dios. No lo sé, papá.</s>>>>><p>Vaya tela. No sé, papá.</p>","<s>Por Dios. No lo sé, papá.</s>>>>><p>","Por Dios. No lo sé, papá."
250,"¿Puedo? Por supuesto. Sí, ¿por qué no? Llévate todo lo que tenemos.","¿Puedo? Por supuesto. Sí, claro, tú aprovéchate.","<s>¿Puedo? Por supuesto. Sí, ¿por qué no? Llévate todo lo que tenemos.</s>>>>><p>¿Puedo? Por supuesto. Sí, claro, tú aprovéchate.</p>","<s>¿Puedo? Por supuesto. Sí, ¿por qué no? Llévate todo lo que tenemos.</s>>>>><p>","¿Puedo? Claro. Sí, ¿por qué no? Llévate todo lo que tenemos."
251,Quieres huir de tu cuerpo,O quieres arrancarte la piel,<s>Quieres huir de tu cuerpo</s>>>>><p>O quieres arrancarte la piel</p>,<s>Quieres huir de tu cuerpo</s>>>>><p>,¿Quieres huir de tu cuerpo?
252,Adoro a los reptiles.,Me encantan los reptiles.,<s>Adoro a los reptiles.</s>>>>><p>Me encantan los reptiles.</p>,<s>Adoro a los reptiles.</s>>>>><p>,Adoro a los reptiles.
253,"porque quería decirle al cirujano: ""Es que es un criminal"".","porque me moría por decirle al cirujano: ""Es que es un delincuente"".","<s>porque quería decirle al cirujano: ""Es que es un criminal"".</s>>>>><p>porque me moría por decirle al cirujano: ""Es que es un delincuente"".</p>","<s>porque quería decirle al cirujano: ""Es que es un criminal"".</s>>>>><p>",porque quería decirle al cirujano: 'Es un criminal'.
254,"Perdón, no quise despertarte. ¿Tendrás pastillas para dormir? No. Yo duermo bien.","Perdón, no quería despertarte. ¿Tienes pastillas para dormir? No. Duermo bien.","<s>Perdón, no quise despertarte. ¿Tendrás pastillas para dormir? No. Yo duermo bien.</s>>>>><p>Perdón, no quería despertarte. ¿Tienes pastillas para dormir? No. Duermo bien.</p>","<s>Perdón, no quise despertarte. ¿Tendrás pastillas para dormir? No. Yo duermo bien.</s>>>>><p>","Digo, no quería despertarte. ¿Tienes pastillas para dormir? No. Yo duermo bien."
255,"Hay una actualización en tu solicitud, haces clic, y aparece la carta.","Actualizan el portal de la aplicación, haces clic y te sale la carta.","<s>Hay una actualización en tu solicitud, haces clic, y aparece la carta.</s>>>>><p>Actualizan el portal de la aplicación, haces clic y te sale la carta.</p>","<s>Hay una actualización en tu solicitud, haces clic, y aparece la carta.</s>>>>><p>","...hay una actualización en tu solicitud, y aparece la carta."
256,estarían en problemas. ¿Qué estaban pensando?,¿Qué estabais pensando?,<s>estarían en problemas. ¿Qué estaban pensando?</s>>>>><p>¿Qué estabais pensando?</p>,<s>estarían en problemas. ¿Qué estaban pensando?</s>>>>><p>,...estarían en problemas. ¿Qué estáis pensando?
257,ya que revelaba todo lo que sabía sobre las operaciones de EE. UU. en Cuba,"y reveló todo lo que sabía de los agentes y operaciones estadounidenses en Cuba,","<s>ya que revelaba todo lo que sabía sobre las operaciones de EE. UU. en Cuba</s>>>>><p>y reveló todo lo que sabía de los agentes y operaciones estadounidenses en Cuba,</p>",<s>ya que revelaba todo lo que sabía sobre las operaciones de EE. UU. en Cuba</s>>>>><p>,que revelara todo lo que sabía sobre las operaciones de EE. UU. en Cuba
258,Yo no se la llevé. -¡Sy! -Puedes contestar. En una fiesta en Alfa Epsilon Pi.,Yo no diría que le abordé. Sy. Puedes responder. En una fiesta en Alfa Epsilon Pi.,<s>Yo no se la llevé. -¡Sy! -Puedes contestar. En una fiesta en Alfa Epsilon Pi.</s>>>>><p>Yo no diría que le abordé. Sy. Puedes responder. En una fiesta en Alfa Epsilon Pi.</p>,<s>Yo no se la llevé. -¡Sy! -Puedes contestar. En una fiesta en Alfa Epsilon Pi.</s>>>>><p>,-No se la llevo. ¡Sy! ¡Puedes contestar! En una fiesta en Alfa Epsilon Pi.
259,"Solo... ...quería decirte que sé que lastimé gente,","Solo quería... Quería decir que sé que he hecho daño,","<s>Solo... ...quería decirte que sé que lastimé gente,</s>>>>><p>Solo quería... Quería decir que sé que he hecho daño,</p>","<s>Solo... ...quería decirte que sé que lastimé gente,</s>>>>><p>","...quería decirte que sé que te he hecho daño,"
260,Nueva ley estatal. Basta de tranquilizantes para niños.,pero no te voy a dar. Nueva ley. Nada de tranquilizantes para niños.,<s>Nueva ley estatal. Basta de tranquilizantes para niños.</s>>>>><p>pero no te voy a dar. Nueva ley. Nada de tranquilizantes para niños.</p>,<s>Nueva ley estatal. Basta de tranquilizantes para niños.</s>>>>><p>, estatal. Basta de tranquilizantes para niños.
261,Deben estar en el cuarto.,Estarán en mi cuarto.,<s>Deben estar en el cuarto.</s>>>>><p>Estarán en mi cuarto.</p>,<s>Deben estar en el cuarto.</s>>>>><p>,Debéis estar en el cuarto.
262,Hola. Estuve buscándote. Perdón por lo del fin de semana.,Hola. Te he estado buscando. Siento no haberte llamado este finde.,<s>Hola. Estuve buscándote. Perdón por lo del fin de semana.</s>>>>><p>Hola. Te he estado buscando. Siento no haberte llamado este finde.</p>,<s>Hola. Estuve buscándote. Perdón por lo del fin de semana.</s>>>>><p>,¿Qué haces aquí? He estado buscándote. Perdón por lo del fin de semana.
